year,tpa_index,tpa_smooth
2008,100.0,100.0
2009,101.2,101.5
2010,103.1,103.4
2011,104.8,105.0
2012,106.2,106.5
2013,107.5,107.8
2014,109.1,109.3
2015,110.8,111.0
2016,112.4,112.7
2017,114.2,114.5
2018,117.8,118.2
2019,126.4,127.1
2020,138.2,139.0
2021,151.6,152.4
2022,161.3,162.1
2023,168.7,169.5
2024,174.2,175.0
2025,179.1,179.8
